Qty;Supplier;Product #;Description
1;`Distrelec <https://www.distrelec.de/en/>`_;05.2400.1122.1024;Rotary Encoder 1024 PPR 24V 12000min-1 Flange Mount IP64 / IP65 PVC Cable, Radial 2400 Series
1;`Shapeways <https://www.shapeways.com/>`_;MH201;Mouse holder, 3D printed - black, versatile plastic, natural finish
1;`Shapeways <https://www.shapeways.com/>`_;MH202;Poop tray, 3D printed - black, versatile plastic, natural finish
1;`Shapeways <https://www.shapeways.com/>`_;MH203;Mouse cover, 3D printed - white, versatile plastic, natural finish
1;`Shapeways <https://www.shapeways.com/>`_;MH204;Wheel/encoder coupler, 3D printed - black, versatile plastic, natural finish
1;`BrickLink <https://www.bricklink.com/>`_;`86652c01 <https://www.bricklink.com/v2/search.page?q=86652c01>`_;Wheel 43.2mm D. x 18mm - Flush Axle Stem with Black Tire 62.4 x 20 S
1;`Thorlabs <https://www.thorlabs.com/>`_;`KBM1/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=KBM1/M>`_;Complete, Switchable Magnetic Kinematic Breadboard, M6 Taps 
1;`Protolabs <https://www.protolabs.com/>`_;HPH301;Headplate holder, CNC machined from aluminium
2;`Protolabs <https://www.protolabs.com/>`_;HPH302;Headplate holder stopper, CNC machined from aluminium
1;`Thorlabs <https://www.thorlabs.com/>`_;`DT12XYZ/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=DT12XYZ/M>`_;12.7 mm XYZ Dovetail Translation Stage with Baseplate, M4 Taps 
1;`RS Components <https://us.rs-online.com/>`_;840-5541;RS PRO Translucent Silicone Rubber Sponge Sheet, 600mm x 600mm x 1.5mm
