Qty;Length;Thread;Head;Material;Purpose
3;20 mm;M6;Setscrew;Steel;IR light, microphone and headbar holder post
4;45 mm;M6;Cap screw;Steel;Mouse body holder
1;20 mm;M6;Setscrew;Steel;Camera to post
1;14 mm;M6;Flat head;Steel;Headbar holder to post
2;16 mm;M6;Cap screw;Steel;Screen posts
4;16 mm;M6;Cap screw;Steel;Magnetic base to breadboard
4;12 mm;M6;Cap screw;Steel;Screen holder to component clamp
1;N/A;M6;Nut;Steel;Water delivery to fisso arm
12;15 mm;M5;Hex bolt;Steel;Rails in enclosure box
4;12 mm;M5;Philips pan head;Steel;Breadboard to rails
4;N/A;M5;N/A;Steel;Post-assembly insertion nuts
1;8 mm;M4;Thumb screw;Steel;IR light to post
1;12 mm;M4;Thumb screw;Steel;Microphone to post
3;10 mm;M3;Slotted cheese head;Nylon;Wheel to coupler
3;5 mm;M3;Philips pan head;Steel;Rotary encoder to mouse holder
2;6 mm;M3;Thumb screw;Steel;Headbar holder thumbscrews
