Qty;Supplier;Product #;Description
3;`Thorlabs <https://www.thorlabs.com/>`_;`TR300/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR300/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 300 mm
3;`Thorlabs <https://www.thorlabs.com/>`_;`TR150/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR150/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 150 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`TR100/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR100/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 100 mm
4;`Thorlabs <https://www.thorlabs.com/>`_;`TR30/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR30/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 30 mm
3;`Thorlabs <https://www.thorlabs.com/>`_;`RA90/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=RA90/M>`_;Right-Angle Clamp for Ø1/2” Posts, 5 mm Hex
2;`Thorlabs <https://www.thorlabs.com/>`_;`BA2T2/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=BA2T2/M>`_;Adjustable Mounting Base, 50 mm x 75 mm x 10 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`PH40/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=PH40/M>`_;Ø12.7 mm Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L=40 mm
3;`Thorlabs <https://www.thorlabs.com/>`_;`SWC/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=SWC/M>`_;Rotating Clamp for Ø1/2” Posts, 360° Continuously Adjustable, 5 mm Hex
4;`Thorlabs <https://www.thorlabs.com/>`_;`PMTR/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=PMTR/M>`_;Component Clamp for Ø1/2” Posts, M6 Taps
2;`Thorlabs <https://www.thorlabs.com/>`_;`PB2/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=PB2/M>`_;Metric Mounting Post Base, Ø61 mm x 12.7 mm Thick
2;`Thorlabs <https://www.thorlabs.com/>`_;`P300/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=P300/M>`_;Ø1.5" Mounting Post, M6 Taps, L = 300 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`C1515/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=C1515/M>`_;Ø1.5" Mounting Post Bracket, M6 Taps
2;`Thorlabs <https://www.thorlabs.com/>`_;`MB1015/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=MB1015/M>`_;Aluminum Breadboard, 100 mm x 150 mm x 12.7 mm, M6 Taps
2;`Shapeways <https://www.shapeways.com/>`_;SM101;Screen holder top, 3D printed - black, versatile plastic, natural finish [#shapeways-order]_
2;`Shapeways <https://www.shapeways.com/>`_;SM102;Screen holder bottom, 3D printed - black, versatile plastic, natural finish [#shapeways-order]_
