Qty;Supplier;Product #;Description
1;`Shapeways <https://www.shapeways.com/>`_;MouseHolder_PCV2-X1;Mouse holder, 3D printed - black, versatile plastic, natural finish [#shapeways-order]_
1;`Shapeways <https://www.shapeways.com/>`_;MouseCover_80mmlong_PCV2;Mouse cover, 3D printed - white, versatile plastic, natural finish [#shapeways-order]_
1;`Shapeways <https://www.shapeways.com/>`_;MH204;Wheel/encoder coupler, 3D printed - black, versatile plastic, natural finish [#shapeways-order]_
1;`Distrelec <https://www.distrelec.de/en/>`_;05.2400.1122.1024;Rotary Encoder 1024 PPR 24V 12000min-1 Flange Mount IP64 / IP65 PVC Cable, Radial 2400 Series
1;`BrickLink <https://www.bricklink.com/>`_;`86652c01 <https://www.bricklink.com/v2/search.page?q=86652c01>`_;Wheel 43.2mm D. x 18mm - Flush Axle Stem with Black Tire 62.4 x 20 S
1;`Optics Focus <https://optics-focus.com/>`_;`MAXYZ-40L <https://optics-focus.com/product/manual-xyz-translation-stage/>`_;Manual XYZ Translation Stage
1;`Protolabs <https://www.protolabs.com/>`_;???;Baseplate, CNC machined, stainless steel [#protolabs-order]_
1;`Protolabs <https://www.protolabs.com/>`_;???;Topplate, CNC machined, stainless steel [#protolabs-order]_
1;`Protolabs <https://www.protolabs.com/>`_;???;Headbar Holder left, stainless steel [#protolabs-order]_
1;`Protolabs <https://www.protolabs.com/>`_;???;Headbar holder right, stainless steel [#protolabs-order]_
2;`Protolabs <https://www.protolabs.com/>`_;???;Headbar holder clamp, stainless steel [#protolabs-order]_
2;`Thorlabs <https://www.thorlabs.com/>`_;`KBM1/M <https://www.thorlabs.com/item/RS6P4M>`_ (requires machining);Ø25.0 mm Pedestal Pillar Post, M4 Taps, L = 15 [#machined-posts]_
