Qty;Length;Thread;Head;Material;Purpose
2;30 mm;M6;Cap screw;Steel;Mouse base to topplate
6;20 mm;M6;Setscrew;Steel;IR lights, microphone and cameras
2;20 mm;M6;Setscrew;Steel;Headbar holder posts to baseplate
3;12 mm;M6;Setscrew;Steel;Camera to post
2;20 mm / 3/4";M6 / 1/4";Setscrew;Steel;Manipulator post to base
1;20 mm / 3/4";M6 / 1/4";Setscrew;Steel;Camera post
4;16 mm;M6;Cap screw;Steel;Manipulator board to angle mount
2;20 mm;M6;Cap screw;Steel;Manipulator board to angle mount
16;20 mm / 3/4";M6 / 1/4";Cap screw;Steel;Manipulator and screen posts
4;16 mm / 5/8";M6 / 1/4";Cap screw;Steel;Base to breadboard
4;12 mm;M6;Cap screw;Steel;Screen holder to component clamp
4;12 mm;M6;Cap screw;Steel;Alignment of manipulator slider
1;N/A;M6;Nut;Steel;Water delivery to fisso arm
1;10 mm;M4;Thumb screw;Steel;Microphone to post
2;6 mm;M4;Cap screw;Steel;Headbar holder screws
2;8 mm;M4;Thumb screw;Steel;IR light to post
2;10 mm;M4;Flat-head socket;Steel;Headbar holder to post
3;5 mm;M3;Philips pan head;Steel;Rotary encoder to mouse holder
8;12 mm;M3;Cap screw;Steel;XYZ stage to top- and baseplate
