Qty;Supplier;Product #;Description
2;`Digikey <https://www.digikey.com>`_;`BKCT2942-50-ND <https://www.digikey.com/en/products/result?keywords=BKCT2942-50-ND>`_;0.5 m BNC Cable
1;`Digikey <https://www.digikey.com>`_;`314-1394-ND <https://www.digikey.com/en/products/result?keywords=314-1394-ND>`_;BNC to wire adapter
1;`Digikey <https://www.digikey.com>`_;`MP-64RJ45UNNK-001-ND <https://www.digikey.com/en/products/result?keywords=MP-64RJ45UNNK-001-ND>`_;CAT5e Cable - 12' (RJ45)
3;`Digikey <https://www.digikey.com>`_;`MP-5ERJ45UNNK-003-ND <https://www.digikey.com/en/products/result?keywords=MP-5ERJ45UNNK-003-ND>`_;CAT5e Cable - 3' (RJ45)
1;`Sanworks <https://www.sanworks.io>`_;`10055 <https://www.sanworks.io/shop/viewproduct?productID=10055>`_;Ambient Module
1;`Sanworks <https://www.sanworks.io>`_;`1033 <https://www.sanworks.io/shop/viewproduct?productID=1033>`_;Bpod HiFi Module HD
1;`Sanworks <https://www.sanworks.io>`_;`1035 <https://www.sanworks.io/shop/viewproduct?productID=1035>`_;Bpod State Machine r2.5
1;`Sanworks <https://www.sanworks.io>`_;`1502 <https://www.sanworks.io/shop/viewproduct?productID=1502>`_;Frame2TTL v3
1;`Sanworks <https://www.sanworks.io>`_;`1008 <https://www.sanworks.io/shop/viewproduct?productID=1008>`_;Port interface board
1;`Sanworks <https://www.sanworks.io>`_;`1034 <https://www.sanworks.io/shop/viewproduct?productID=1034>`_;Rotary Encoder Module v2
