Qty;Supplier;Product #;Description
1;`Thorlabs <https://www.thorlabs.com/>`_;`MB3030/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=MB3030/M>`_;Aluminum Breadboard, 300 mm x 300 mm x 12.7 mm, M6 Taps
2;`Thorlabs <https://www.thorlabs.com/>`_;`PH50/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=PH50/M>`_;Ø12.7 mm Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L=50 mm
3;`Thorlabs <https://www.thorlabs.com/>`_;`TR300/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR300/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 300 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`TR150/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR150/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 150 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`TR100/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR100/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 100 mm
1;`Thorlabs <https://www.thorlabs.com/>`_;`TR50/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR50/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 50 mm
2;`Thorlabs <https://www.thorlabs.com/>`_;`TR30/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=TR30/M>`_;Ø12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 30 mm
4;`Thorlabs <https://www.thorlabs.com/>`_;`PMTR/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=PMTR/M>`_;Component Clamp for Ø1/2” Posts, M6 Taps
3;`Thorlabs <https://www.thorlabs.com/>`_;`RA90/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=RA90/M>`_;Right-Angle Clamp for Ø1/2” Posts, 5 mm Hex
1;`Thorlabs <https://www.thorlabs.com/>`_;`SWC/M <https://www.thorlabs.com/thorproduct.cfm?partnumber=SWC/M>`_;Rotating Clamp for Ø1/2” Posts, 360° Continuously Adjustable, 5 mm Hex
2;`Shapeways <https://www.shapeways.com/>`_;SMS102;Screen spacer, 10 mm, 3D printed - black, versatile plastic, natural finish
2;`Shapeways <https://www.shapeways.com/>`_;SMS101;Screen spacer, 72 mm, 3D printed - black, versatile plastic, natural finish
2;`Shapeways <https://www.shapeways.com/>`_;SM101;Screen holder top, 3D printed - black, versatile plastic, natural finish
2;`Shapeways <https://www.shapeways.com/>`_;SM102;Screen holder bottom, 3D printed - black, versatile plastic, natural finish
