Qty;Supplier;Product #;Description
1;`Digikey <https://www.digikey.com>`_;`1470-3166-ND <https://www.digikey.com/en/products/result?keywords=1470-3166-ND>`_;Power Supply: 12V, 2A, 24W [1]_
1;`Digikey <https://www.digikey.com>`_;`668-1621-ND <https://www.digikey.com/en/products/result?keywords=668-1621-ND>`_;Audio Amplifier
1;`Digikey <https://www.digikey.com>`_;`AE9929-ND <https://www.digikey.com/en/products/result?keywords=AE9929-ND>`_;Ultrasonic Mic USB cable
1;`Digikey <https://www.digikey.com>`_;`C1362-21-50-ND <https://www.digikey.com/en/products/result?keywords=C1362-21-50-ND>`_;Speaker cable
1;`Digikey <https://www.digikey.com>`_;`HPD-40N16PET00-32-ND <https://www.digikey.com/en/products/result?keywords=HPD-40N16PET00-32-ND>`_;Speaker
1;`Digikey <https://www.digikey.com>`_;`TL633-ND <https://www.digikey.com/en/products/result?keywords=TL633-ND>`_;Speaker cable, 3.5mm
1;`Dodotronic <https://www.dodotronic.com>`_;`Ultramic UM200K <https://www.dodotronic.com/product/ultramic-um200k/>`_;Ultrasonic USB microphone
1;`McMaster <https://www.mcmaster.com>`_;`5109K21 <https://www.mcmaster.com/5109K21>`_;Silicone Foam Strip with Adhesive Back, 15ft
1;`Shapeways <https://www.shapeways.com/>`_;AAM101;Audio amplifier mount
1;`Shapeways <https://www.shapeways.com/>`_;ME101;Microphone Enclosure Top
1;`Shapeways <https://www.shapeways.com/>`_;ME102;Microphone Enclosure Bottom
1;`Shapeways <https://www.shapeways.com/>`_;SpM3;Speaker mount
